f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,label
165.57,140.38,149.16,171.88,159.88,157.25,163.91,159.62,157.08,146.56,155.36,179.76,174.87,162.99,150.47,164.07,150.42,147.24,139.81,133.85,163.8,163.38,134.57,142.72,165.24,158.99,153.49,136.26,141.09,165.85,140.57,135.41,135.42,142.66,147.71,152.36,159.17,165.61,140.08,133.66,141.49,147.72,129.65,137.43,155.41,147.51,161.43,154.5,143.46,132.68,127.46,179.6,162.31,120.68,126.85,142.41,143.46,149.06,131.36,155.41,147.24,134.43,138.08,131.78,145.23,161.64,138.86,0
127.16,125.23,126.69,146.42,149.23,157.04,156.39,129.37,141.57,139.41,135.48,142.47,144.14,149.98,154.91,117.41,147.97,164.21,141.42,155.72,168.86,147.34,139.87,153.89,135.77,133.58,141.91,167.03,171.95,158.93,138.35,144.64,134.64,176.53,156.36,165.82,163.32,156.04,151.64,145.18,136.4,186.42,159.82,140.43,171.01,132.95,143.34,154.39,154.89,168.55,177.45,166.54,167.44,127.01,109.44,136.1,154.89,167.61,185.97,171.01,164.21,125.81,117.94,154.17,170.23,156.25,159.63,0
137.89,143.5,154.03,137.95,153.4,175.54,172.12,153.34,110.56,121.7,156.76,152.41,150.91,170.41,169.26,157.94,145.05,135.17,129.92,121.13,120.21,139.63,152.05,153.68,153.38,172.67,148.87,127.85,127.02,140.23,131.85,122.14,145.28,169.93,153.24,123.93,143.71,162.12,163.39,131.04,126.57,165.45,166.93,149.88,154.84,147.76,142.75,157.8,132.43,166.23,152.61,139.53,160.34,159.97,159.04,130.87,132.43,171.33,158.5,154.84,135.17,135.59,148.73,157.52,134.58,135.63,153.35,0
175.26,133.72,109.97,135.04,170.85,168.96,127.39,147.98,153.78,142.79,115.35,127.35,163.39,175.4,151.65,170.52,161.06,167.02,142.22,117.96,124.11,148.03,164.86,159.44,165.07,173.76,180.32,148.25,141.65,125.24,143.73,176.62,168.73,168.73,178.59,163.75,169.87,143.32,140.13,172.77,186.93,163.61,169.38,155.78,170.02,171.54,176.64,145.36,149.27,140.72,172.54,162.57,150.8,153.05,170.88,170.87,149.27,127.69,149.45,170.02,167.02,164.14,176.6,156.38,151.48,158.55,153.08,0
148.76,147.3,152.49,163.54,145.89,150.13,172.13,169.7,167.3,142,120.46,113.6,106.54,131.25,171.08,171.01,182.68,133.52,173.9,147.91,124.98,122.27,134.68,161.91,167.59,142.7,154.25,155.04,173.38,183.84,166.56,162.26,164.01,125.34,146.17,139.46,148.85,180.41,185.53,166.76,143.35,127.21,132.29,143.63,129.3,117.69,127.22,153.8,147.43,166.95,172.53,136.31,151.61,147.06,119.45,112.21,147.43,172.25,177.13,129.3,133.52,150.46,150.61,139.99,141.35,154.78,153.95,0
117.61,105.07,133.85,159.05,167.72,164.16,148.61,136.72,132.41,90.693,113.81,155.71,156.7,143.39,139.64,167.66,166.86,136.71,131.65,116.51,139.7,123.31,112.71,128.34,162.74,182.78,184.95,149.61,131.06,120.51,119.23,148.66,151.08,149.85,150.31,152.87,132.66,132.79,145.45,159.12,157.08,160.87,159.36,168.94,114.97,145.07,140.45,153.32,141.02,142.87,130.59,146.63,150.83,151.96,159.7,145.48,141.02,147.96,129.4,114.97,136.71,155.65,176.65,170.38,130.29,140.79,149.27,0
139.87,127.59,168.75,175.06,153.97,128.66,150.35,152.91,167.64,151.53,147.4,156.81,128.17,113.81,149.92,155.18,169.24,153.55,181.81,128.72,132.48,134.31,137.32,171.73,170.1,155.64,163.91,125.44,128.82,130.54,136.2,170.57,168.13,143.06,140.79,101.3,103.66,142.3,149.28,145.18,152.65,122.73,121.14,113.15,189.98,113.08,144.48,178.98,162,160.15,112.58,158.28,117.12,136.79,141.53,138.76,162,161.98,132.73,189.98,153.55,141.52,147.38,157.94,156.07,139.34,129.7,0
160.3,170.25,179.13,174.66,161.78,173.15,175.1,152.76,146.57,173.54,175.04,179.82,168.39,154.07,165.3,181.25,124.04,148.47,154.63,160.6,166.42,177.53,139.77,122.69,163.51,126.14,139.58,131.64,135.44,146.62,126.34,126.12,160.83,144.74,149.77,134.66,116.17,111.8,111.58,141.58,167.12,128.04,147.5,166.34,123.06,141.09,105.67,104.61,137.87,124.64,160.84,107.78,133.55,149.55,139.58,137.32,137.87,124.44,131.66,123.06,148.47,145.23,133.27,140.87,150.35,134.88,118.83,0
135.54,159.47,147.36,121.27,128.84,151.37,150.57,127.29,153.74,147.35,135.06,128.71,139.84,121.38,111.68,110.99,172.69,162.01,142.08,136.96,133.48,124.52,136.02,140.62,125.08,176.55,152.98,120.44,124.62,116.75,132.08,169.66,182.29,166.77,171.91,139.32,143.15,121.81,100.77,134.67,157.33,153.35,140.99,128.4,159.17,156.62,150.94,114.63,124.99,127.43,141.27,173.89,167.74,133.62,127.38,133.42,124.99,138.14,159.06,159.17,162.01,159.81,147.35,120.32,114.99,132.61,155.22,0
137.27,156.94,179.04,186.13,157.03,105.68,104.9,136.02,130.23,146.51,170.82,179.69,174.42,126.41,109.94,126.41,157.97,148.06,146.11,136.43,157.62,171.12,163.22,156.5,126.34,131.84,153.04,135.41,155.45,170.26,167.54,175.95,144.09,127.85,136.88,147.81,162.75,168.76,142.92,149.33,140.11,130.32,112.92,141.42,157.6,169.27,188.77,166.98,187.51,134.83,113.17,131.61,118.52,126.37,161.6,188.88,187.51,163.97,130.79,157.6,148.06,135.45,151.22,158.9,167.41,179.61,174.28,0
154.95,160.67,140.21,152.02,164.55,174.38,176.24,165.61,149.99,174.3,155.86,132.66,143.01,171.41,179.27,174.83,153.08,169.41,164.71,138.15,107.51,127.17,161.86,171.38,161.73,153.95,177.46,154.46,98.853,121.74,152.42,163.29,178.21,130.96,154.74,156.18,145,152.44,165.12,150.88,168.82,114.57,132.28,144.87,158.6,169.11,169.25,188.91,187.77,172.48,141.75,128.73,144.38,163.05,183.46,171.93,187.77,184.85,136.5,158.6,169.41,174.34,189.63,174.35,164.79,157.8,133.7,0
164.29,175.32,180.68,183.19,167.37,134.55,145.72,162.58,155.99,157.67,171.42,160.66,154.94,158.3,163.15,174.32,145.66,123.01,162.83,147.38,148.52,162.15,162.71,175.79,186.2,135.67,155.31,142.86,139.96,149.9,148.08,163.93,173.98,124.47,151.07,165.63,153.71,123.18,109.33,140.48,168.62,130.18,155.13,170.36,149.38,161.44,125.49,99.832,158.71,114.95,148.18,127.68,145.04,147.76,141.28,148.55,158.71,141.45,142.61,149.38,123.01,123.98,117.96,134.28,172.36,167.1,124.63,0
134.97,114.48,126.51,129.07,112.43,127.13,142.72,130.59,124.1,143.34,157.45,172.46,125.89,83.341,106.67,142.44,123.36,132.89,142.02,148.11,140.53,119.92,134.35,134.96,129.83,136.93,109.15,108.99,117.51,125.64,154.25,156.31,123.85,147.97,113.15,124.63,130.82,127.54,152.79,167.43,136.22,136.81,116.02,124.65,148.16,112.25,123.56,159.12,137.55,194.11,166.17,137.07,110.56,119.14,130.52,140.24,137.55,143.27,143.97,148.16,132.89,153.41,163.38,166.77,153.45,119.56,109.25,0
148.64,143.55,168.49,185.31,178.54,149.2,121.16,101.85,173.85,162.96,157.3,160.46,155.81,163.06,173.2,149.37,173.12,114.34,173.29,138.91,141.74,153.69,162.93,173.11,162.93,162.61,157.34,139.01,149.79,159.72,162.55,160.6,150.18,151.16,137.81,127.22,146.04,157.16,144.61,151.64,140.92,149.48,126.62,114.35,137,140.3,140.18,120.21,137.8,112.31,111.37,157.43,118.01,116.72,161.8,172.85,137.8,115.1,132.37,137,114.34,130.88,172.38,191.49,178.13,150.4,141.74,0
128.16,121.31,137.1,164.62,182.77,170.44,144.17,124.12,121.88,130.58,147.03,164.71,163.78,145.59,121.03,121.29,123.36,170.66,134.98,153.27,181.01,177.49,141.91,132.37,135.99,137.43,132.02,142.04,160.22,158.12,148.07,151.93,163.33,138.48,130.35,118.55,118.44,122.69,137.18,155.39,170.33,150.83,159.78,119.81,150.06,98.052,113.39,147.27,149.42,173.83,172.49,162.52,180.18,147.67,110.55,125.21,149.42,165.32,161.55,150.06,170.66,167.78,137.26,144.88,167.12,162.08,136.53,0
124.4,147.77,145.08,148.84,155.46,155.08,158.86,126.57,126.77,132.01,137.09,149.76,144.22,150.18,173.14,174.9,128.15,120.85,133.52,134.91,138.66,127.91,130.52,155.64,177.58,139.31,135.21,135.5,133.88,120.25,113.27,130.29,130.79,165.63,155.45,131.4,117.45,128.68,149.26,153.34,113.43,152.21,157.57,126.94,130.87,138.23,141.73,160.63,138.78,169.49,144.71,129.23,132.36,133.17,139.68,137.24,138.78,138.48,129.49,130.87,120.85,128.75,152.19,147.54,134.58,121.29,124.05,0
169.97,168.27,143.21,144.48,137.7,141.87,130.32,118.82,175.14,179.34,160.89,133.96,154.45,161.98,146.86,136.13,153.05,137.74,142.97,123.17,126.18,156.25,154.05,127.43,141.04,135.39,111.92,119.72,148.45,156.22,130.46,98.705,120.33,146.98,157.24,161.39,174.01,176.37,134.44,101.46,107.6,154.16,159.02,167.25,125.48,165.89,125.53,125.34,122.67,140.22,126.86,132.63,128.47,145.87,138.59,107.57,122.67,120.69,121.79,125.48,137.74,141.73,110.33,94.749,115.19,116.13,136.47,0
140.21,139.54,136.29,139.72,153.04,134.62,111.2,140.43,102.06,110.91,134.72,162.48,180.96,163.75,108.38,104.41,127.41,128.63,133.64,137.52,136.34,142.65,138.49,110.66,104.86,142.67,147.33,159.01,138.86,117.3,120.22,125.67,107.78,110.27,157.01,168.96,141.89,122.81,154.82,163.81,117.23,143.17,162.58,141.03,118.41,117.29,122.34,139.87,119.41,158.58,132.85,156.85,173.81,173.59,142.85,118.76,119.41,139.67,131.38,118.41,128.63,144.42,163.24,152.22,124.25,133.51,123.61,0
94.127,85.286,124.3,156.16,173.37,145.3,115.5,110.57,133.79,116.04,108.98,138.17,163.87,165.77,130.74,120.4,127.9,124.82,125.83,118.86,131.7,152.26,167,125.32,114.16,100.01,116.9,133.98,122.95,126.21,129.15,120.37,133.12,100.41,108.87,133.99,129.88,117.36,123.73,132.04,145.39,133.62,122.5,145.45,107.03,164.56,150.19,147.69,134.6,142.35,134.82,126.96,136.13,153.39,178.85,173.17,134.6,128.19,124.86,107.03,124.82,138.76,155.06,152.54,139.26,149.43,164.85,0
125.81,110.01,109.9,129.2,127.92,135.08,160.24,157.97,153.88,115.03,101.16,110.05,113.8,123.23,139.27,121.81,158.51,146.89,145.78,131.98,112.22,122.6,147.54,128.94,104.35,128.92,133.46,132.92,122.16,138.06,144.51,128.06,121.59,123.07,117.83,143.35,141.85,135,129.17,119.61,132.6,145.54,123.14,132.99,145,152.89,158.35,124.97,128.61,125.57,147.71,161.09,135.34,121.11,127.33,137.33,128.61,142.91,156.75,145,146.89,154.72,127.07,116.31,131.44,150.97,154.12,0
146.89,166.85,166.4,138.25,129.39,150,159.97,157.51,152.27,165.8,149.08,133.21,133.27,147.38,148.69,127.16,156.39,185.64,148.86,127.92,130.18,137.34,136.51,136.3,134.96,173.97,150.54,128.27,130.84,140.36,132.92,121.4,134.72,147.77,131.05,139.31,145.37,151.38,141.91,122.23,110.26,150.2,136.48,142.48,164.76,137.95,145.58,152.23,139.18,158.1,147.97,146.17,162.61,157.21,129.71,144.01,139.18,136.04,149.95,164.76,185.64,185.96,138.37,126.55,123.04,125.09,137.28,0
158.04,161.95,183.62,166.95,111.53,114.1,133.1,146.77,138.33,142.52,161.58,165.2,134.99,130.46,148.14,161.85,119.12,106.48,137.98,133.65,118.68,108.6,122.22,151.13,164.76,136.79,169.89,160.27,120.48,120.09,145.31,153.7,155.42,145,162.71,157.08,127.73,128.01,139.69,136.95,128.1,152.04,150.08,119.24,108.88,111.28,130.59,149.88,172.83,138.02,116.3,135.52,137.73,115.37,120.91,148.32,172.83,169.78,137.69,108.88,106.48,115.48,122.75,132.61,156.45,160.47,138.63,0
112.73,99.782,111.94,107.91,104.83,125.25,123.73,131.54,89.852,98.706,132.3,138.36,140.89,150.64,137.13,118.18,87.918,150.98,95.916,125.23,152.52,170.39,192.49,186.14,136.56,116.66,112.2,99.977,128.37,163.11,173.77,170.19,138.59,154.68,144.9,131.53,131.35,134.34,132.98,127.23,110.05,143.38,130.15,136.09,159.49,139.38,157.76,147.49,166.67,123.45,108.76,147.77,135.16,127.34,142.93,168.38,166.67,156.03,126.95,159.49,150.98,123.14,142.82,167.58,159.5,154.47,121.85,0
170.06,177.11,144.56,121.72,153.16,172.19,161.19,142.58,151.75,158.07,141.63,133.38,158.56,169.66,165.76,178.7,125.98,159.45,131.54,134.69,143.38,162.53,172.38,159.25,149.66,131.99,137.17,143.4,134.86,134,147.86,148.59,140,125.1,134.74,137.75,124.5,132.62,148.34,155.31,161.98,122.07,131.48,131.45,140.62,120.81,124.61,134.74,129.95,145,146.24,138.28,153.11,143.7,123.11,131.22,129.95,119.47,99.932,140.62,159.45,141.79,115.21,125.23,158.18,177.69,162.2,0
146.59,164.47,167.43,136.71,135.53,157.95,176.72,173.97,145.78,169.73,171.71,153.24,135.79,122.35,134.65,141.18,139.87,181.76,149.56,158.93,151.59,140.57,120.95,127.62,150.43,113.45,118.82,154.85,167.23,170.7,157.47,146.07,142.43,134.21,139.09,149.4,156.83,154.69,142.66,141.88,124.5,165.38,152.31,130.29,187.81,133.8,133.21,137.91,118.9,145.04,123.31,160.5,153.95,129.91,101.96,106.79,118.9,111.9,121.97,187.81,181.76,157.77,118.45,108.34,104.64,101.77,132.46,0
150.64,120.79,131.47,156.19,162.4,126.69,126.23,152.49,181.22,166.18,132.36,141.8,145.96,137.12,134.44,138.59,173.51,184.26,176.67,144.12,137.97,139.07,157.39,168.42,162.96,185.68,160.15,135.16,125.09,133.93,167.21,187.81,184.04,177.46,156.3,141.12,151.52,155.14,163.7,177.25,167.17,154.52,148.45,142.42,198.43,154.95,180.73,174.63,152.74,157.63,151.1,192.96,166.29,147.18,144.26,162.93,152.74,144.13,147.78,198.43,184.26,158.17,157.83,162.32,159.27,145.81,148.87,0
171.37,167.24,156.11,168.69,171.24,164.48,171.25,167.61,137.51,147.39,151.65,173.21,179.2,164.94,168.68,182.44,140.49,128.01,148.63,166.33,166.4,160.6,165.07,174.89,180.89,164.37,176.37,168.04,145.14,138.12,150.81,170.84,176.38,146.45,176.49,185.39,168.72,168.39,153.19,138.37,144.03,129.71,152.37,179.86,151.66,170.21,161.28,143.18,134.36,144.02,163.81,147.47,124.07,170.01,175.81,151.9,134.36,145.05,169.54,151.66,128.01,143.8,166.09,170.05,162.66,145.82,165.88,0
146.25,126.94,126.22,152.53,173.78,170.39,145.41,153.12,153.34,150.47,145.26,138.78,153.35,162.21,167.94,158.97,146.97,140.35,164.57,164.46,147.59,160.32,158.71,153.71,165.12,135.65,144.34,145.69,164.76,182.15,190.79,166.7,144.13,139.73,138.38,129.39,156.91,193.68,203.86,184.77,141.77,150.83,148.38,144.74,148.25,143.22,174.64,190.12,150.36,170.69,156.21,152.59,150.25,159.47,171.93,169.99,150.36,140.58,141.95,148.25,140.35,146.8,180.32,192.5,144.74,124.94,124.79,0
149.16,159.59,147.41,169.8,193.9,156.92,126.11,122.03,149.39,164.1,161.91,166.4,187.77,181.48,126.49,120.57,129.84,157.64,138.44,155.09,175.62,193.13,184.93,155.85,141.29,107.18,121.11,148.31,168.58,188.43,190.77,165.69,167.73,128.02,121.9,120.2,144.35,165.67,163.98,162.34,169.52,174.54,173.2,156.33,172.63,136.06,129.77,126.78,146.14,142.41,157.95,176.63,175.4,187.13,173.84,133.98,146.14,146.48,140.43,172.63,157.64,159.47,164.87,159.79,159.08,173.48,159.73,0
175.61,145.48,141.92,166.89,177.74,154.21,163.32,176.77,176.07,158.2,151.83,164.09,178.94,162.15,144.5,155.66,147.64,142.82,150.9,154.28,160.15,170.55,167.78,150.8,163.15,135.45,132.64,136.03,151.35,174.69,182.02,160.04,176.33,121.13,130.92,138.35,139.5,175.08,190.46,169.58,171.41,124.36,136.47,153.84,151.53,144.43,145.14,157.3,145.72,168.53,190.26,123.07,138.31,150.41,139.16,134.37,145.72,157.62,184.76,151.53,142.82,143.13,142.4,143.94,137.19,143.15,162.58,0
148.63,147.96,153.78,155.49,158.53,140.41,134.32,147.37,123.29,140.77,157.3,143.22,137.84,152.09,148.68,134.09,124.31,140.55,140.2,148.97,140.18,143.06,164.4,183.01,172.74,139.09,132.57,135.87,153.21,160.91,176.43,185.12,164.94,158.86,123.01,119.62,138.13,154.74,165.59,170,161.68,168.27,138.14,129.35,135.37,135.9,144.35,138.99,168.85,132.83,158.55,149.8,145.77,154.23,152.95,162.93,168.85,152.16,153.69,135.37,140.55,160.48,158.29,157.51,159.49,175.79,174.46,0
138.37,128.36,147.69,147.41,148.43,166.31,188.19,180.85,167.7,120.82,126.88,134.46,155.49,175.35,191.98,193.13,166.01,170.13,142.63,119.96,122.46,144.63,165.83,178.72,185.19,153.36,156.09,139.16,138.08,149.51,168.81,179.77,179.54,137.16,131.1,133.42,147.95,170.38,181.39,176.42,165.19,126.39,119.52,112.63,167.75,130.66,158.68,157.39,127.12,160.77,183.04,140.84,153.73,118.62,107.24,121.59,127.12,142.78,168.32,167.75,170.13,145.71,123.83,111.24,120.66,139.43,155.8,0
149.66,179.22,194.29,158.72,125,135.38,152.81,154.23,161.47,164.66,204.12,199.73,143.09,128.32,130.76,125.62,169.24,146.93,169.95,173.99,176.85,176.2,162.97,150.17,153.87,132.43,158.26,172.23,155.79,164.07,181.51,153.26,156.99,132.4,144.25,150.99,164.17,173.09,168.02,136.9,134.54,145.55,166.92,145.42,132.71,159.69,184.14,171.43,180.85,140.43,155.5,143.99,173,153.31,158.1,180.28,180.85,163.39,163.55,132.71,146.93,143.04,169.6,194.89,196.65,198.02,174.71,0
123.16,124.25,122.26,156.82,186.9,203.01,192.85,165.46,112.53,128.6,131.32,126.13,152.45,171.23,180.25,176.57,136.6,116.06,162.86,169.93,163.4,126.61,119.61,140.4,173.9,138.66,155.57,167.1,174.69,137.2,106.3,126.37,152.37,140.22,150.56,173.18,166.24,136.74,105.11,109.12,123.89,152.45,137.19,173.78,158.19,165.36,144.57,139.87,157.45,140,121.51,153.17,116.87,147.68,170.29,167.4,157.45,169.5,161.23,158.19,116.06,132.18,167,168.52,171.08,170.92,181.07,0
155.91,131.21,123.53,150.08,178.72,185.22,167.91,161.73,152.96,128.15,120.01,133.4,162.71,174.54,146.6,145.04,147.94,132.33,120.41,120.12,147.13,150.79,156.04,140.51,154.35,157.68,131.44,121.84,151.6,158.18,139.16,132.1,155.65,162.6,146.69,129.03,147.75,140.62,124.65,122.33,151.13,133.89,128.38,120.99,137.69,142.29,147.1,136.86,157.61,137.7,131.07,124.25,128.1,128.05,132.98,156.48,157.61,143.13,129.16,137.69,132.33,148.05,135.28,137.54,152.77,141.61,123.96,0
146.56,147.43,165.04,152.75,142.33,149.53,156.85,156.14,178.24,158.59,147.13,153.26,147.1,133.26,150.87,170.99,150.34,153.16,134.64,138.64,158.35,162.3,152.93,168.43,174.67,124.22,110.89,143.44,161.99,139.14,150.15,174.74,184.46,152.55,98.482,113.06,140.39,132.8,128.9,150.35,160.54,183.86,152.87,120.41,136.84,139.88,151.87,124.22,157.81,103.43,130.47,155.01,178.99,169.03,155.67,166.81,157.81,129.64,132.05,136.84,153.16,153.29,127.82,136.66,169.78,175.28,158.95,0
131.2,121.88,152.36,146.42,127.77,161.15,186.68,155.33,167.37,130.05,145.73,161.75,136.28,131.38,153.23,167.35,169.88,162.1,142.99,159.79,170.6,134.09,116.34,129.37,148.99,159.52,141.7,146.7,164.08,139.07,106.96,102.36,135.43,156.11,155.72,135.16,135.22,121.97,99.554,112.25,151.76,171.1,149.39,152.27,166.11,156.72,139.41,121.96,149.87,126.76,145.38,191.18,151.22,139.89,159.47,148.22,149.87,125.76,110.33,166.11,162.1,148.67,148.33,146.82,162.86,134.55,112.56,0
132,139.71,161.38,174.53,175.11,176.52,146.64,134.09,178.87,145.54,151.61,181.06,171.55,187.92,167.26,129.67,179.14,142.87,162.46,155.51,160.99,157.9,170.16,172.64,160.51,150.99,157.51,172.58,158.21,142.17,142.07,168.64,190.69,152.62,165.24,173.41,168.18,147.74,137.23,132.78,137.14,148.78,175.74,180.96,129.87,174.97,163.55,155.07,142.01,118.75,130.23,126.54,152.57,177.99,179.52,186.02,142.01,120.79,160.05,129.87,142.87,163.79,150.21,162.9,143.84,138.4,164.67,0
144.69,155.8,167.79,148.01,148.18,128.21,133.09,165.85,159.57,177.26,166.73,168.93,164.13,144.3,127.17,135.04,164.16,137.94,180.33,163.1,148.87,157.12,155.7,145.44,160.71,155.12,167.71,156.77,136.99,150.99,154.24,149.58,170.96,139.71,151.16,152.17,137.24,138.99,152.62,155.29,157.74,113.66,128.43,149.28,138.12,169.73,167.83,170.34,170.69,163.91,142.39,112.9,118.63,145.61,172.2,183.71,170.69,155.42,125.43,138.12,137.94,140.87,160.14,170.63,148.72,117.73,118.16,0
152.2,147.63,137.44,166.23,180.31,165.83,128.82,133.09,178.59,146.55,137.24,163.89,175.94,169.61,146.44,141.59,184.53,151.57,175.54,145.45,142.18,142.85,149.87,153.5,148.87,175.89,165.72,153.34,152.24,137.53,129.01,143.84,149.01,183.85,165.34,154.35,167,151,128.01,140.25,162.48,186.51,179.17,142.92,149.06,146.25,159.71,152.26,178.02,144.83,144.06,167.44,170.19,143.11,140.43,166.29,178.02,167.12,131.51,149.06,151.57,133.17,145.49,173.75,164.08,164.84,189.11,0
131.55,142.04,132.41,137.02,164.75,154.2,168.71,191.58,122.39,151.73,154.03,132.95,128.48,130.84,159,172.18,116.17,119.42,142.67,129.12,129.21,144.48,145.82,158.01,179.04,119.37,96.158,101.82,120.06,143.91,158.32,165.56,171.81,114.12,116.53,133.88,130.24,138.58,155.41,185.72,178.12,102.71,108.62,142.99,148.93,154.12,157.31,146.34,178.97,149.44,149.64,142.56,109.8,116.31,138.61,155.56,178.97,171.82,143.81,148.93,119.42,103.64,127,130.78,157.13,173.1,170.7,0
129.73,130.92,136.47,135.64,131.93,140.37,166.33,163.92,117.91,130.01,160.07,177.27,154.86,129.82,159.69,149.03,103.66,131.16,125.34,141.73,168.72,182.46,161.99,152.08,138.38,93.469,100.6,139.81,160.03,181.52,191.99,174.66,158.85,119.38,122.44,140.68,145.32,170.69,194.17,159.26,114.92,126.85,161.15,162.94,138.13,139.36,145.37,163.44,152.34,161.9,123.97,118.35,146.92,162.8,146.48,127.23,152.34,160.17,144.08,138.13,131.16,163.08,153.09,133.41,125.41,118.75,140.37,0
136.63,133.79,158.61,158.42,144.86,122.3,128.81,148.12,171.31,152.55,138.54,137.75,145.47,149.35,157.86,175.58,156.96,179.72,153.02,153.64,151.36,141.37,157.38,176.45,170.47,164.26,154.24,161.67,144.68,148.18,159.8,178.2,159.16,168.77,147.3,140.34,138.46,154.23,146.37,157.32,168,163.91,172.68,135.52,140.42,109.99,132.72,124.06,131.51,123.5,161.17,148.14,181.45,161.98,120.39,134.3,131.51,110.13,137.76,140.42,179.72,177.64,150.22,145.02,137.39,128.7,139.7,0
168.99,173.57,164.19,161.25,148.35,130.6,139.39,157.77,184.9,178.27,150.45,130.45,123.13,135.48,160.96,188.47,166.01,133.45,142.71,151.53,165.56,133.51,123.68,145.21,179.9,147.75,121.76,148.62,167.14,142.71,108.09,131.94,152.72,165.39,127.2,139.39,168.53,145.04,105.3,123.69,147.81,171.62,154.92,137.19,115.98,151.07,128.57,125.56,131.85,163.59,173.95,168.22,148.49,134.37,140.37,110.92,131.85,179.58,194.49,115.98,133.45,148.27,143.21,134.61,123.5,142.74,169.74,0
134.93,155.17,142.04,150.94,180.43,179.6,143.52,150.28,160.15,179.78,178.16,159.32,176.3,184.62,157.14,147.03,148.55,167.64,160.9,175.74,159.87,156.23,147.06,139.81,158.43,128.89,161.24,164.07,153.18,156.84,142.72,131.58,167.68,110.49,128.52,135.82,137.34,164.27,172.66,147.52,151.86,126.04,134.38,127.46,139.06,125.77,150.88,173.4,176.61,178.47,156.17,152.27,179.46,174.82,141.52,173.43,176.61,173,167.28,139.06,167.64,165.99,150.2,178.9,182.49,155.12,138.26,0
97.908,122.53,133.06,140.36,156.02,172.29,168.44,137.08,104.35,108.57,128.16,156.52,167.81,169.16,185.37,183.44,134,143.52,134.16,144.94,174.37,188.06,173,167.2,183.68,127.55,131.28,141.71,152.42,171.36,181.17,170.8,159.35,109.75,115.71,120.78,136.45,161.58,179,152.18,118.33,125.21,131.95,120.86,134.25,126.81,149.93,166.69,169.39,152.54,113.8,154.56,161.28,137.02,103.28,128.32,169.39,194.05,193.11,134.25,143.52,132.67,116.05,124.33,146.33,168.61,189.81,0
125.15,151.22,159.77,141.49,123.23,146.64,147.12,153.49,140.83,156.34,157.57,131.67,147.01,158.25,136.1,155.38,138.71,106.01,142.33,146.29,128.92,138.03,146.6,149.01,154.58,151.9,129.58,132.3,127.59,140.6,145.16,139.81,140.65,172.33,137.56,101.89,114.11,152.42,171.16,151.19,138.69,160.9,126.07,106.55,113.58,126.65,158.07,175.48,158.12,165.5,157.96,147.75,119.94,115.5,123.45,156.76,158.12,146.5,159.9,113.58,106.01,113.97,120.72,127.97,148.75,148.6,139.75,0
110.24,128.5,127.29,128.45,138.07,157.2,158.38,130.62,151.49,135.96,126.57,131.03,145.71,155.09,149.86,132.71,161.26,134.63,125.98,109.93,116.4,132.55,136.64,142.87,136.74,126.89,141.8,141.01,113.52,106,126.77,148.66,139.08,104.97,135.87,161.91,135.14,115.67,143.23,152.73,134.59,132.51,133.08,171.99,135.97,171.73,140.35,138.16,122.07,142.79,129.3,133.72,136.16,159.42,152.05,135.9,122.07,112.66,102.54,135.97,134.63,155.18,147.91,134.95,110.35,86.965,119.9,0
139.28,124.07,129.64,141.65,133.41,107.69,107.65,138.17,142.79,116.47,110.67,115.91,109.64,97.286,114.6,127.2,163.59,148.1,149.16,113.33,98.352,95.892,106.27,134.25,141.85,147.57,134.52,121.9,115.77,136.26,141.21,138.7,149.07,123.05,119.88,106.25,114.41,141.64,140.36,142.36,167.1,143.04,164.42,145.38,151.64,105.89,123.23,129.63,142.52,131.91,150.39,145.92,161.76,166.37,132.14,126.26,142.52,125.4,119.24,151.64,148.1,148.36,117.54,121.45,137.47,136.03,109,0
153.24,135.13,125.41,101.96,113.8,144,158.52,144.52,128.87,132.33,120.56,101.65,117.87,135.67,135.06,126.37,134.44,106.47,160.02,146.58,120.95,119.57,134.9,133.18,105.83,112.32,138.14,134.69,132.14,154.04,157.3,145.21,118.21,94.323,130.56,139.33,124.74,144.73,160.75,145.77,127.61,102.04,110.5,131,99.154,142.23,134.01,119.5,118.63,117.83,137.78,86.525,94.903,130.1,155.72,153.04,118.63,121.22,140.48,99.154,106.47,131.94,136.99,134.5,126,139.37,159.39,0
108.28,118.42,128.67,121.19,112.26,116.12,145.34,171.33,115.79,128.25,143.54,132.91,138.41,125.93,131.2,153.74,110.61,111.71,122.68,134.14,144.51,167.29,153.39,139.56,128.26,133.14,121.89,123.94,114.64,140.57,164.18,173.25,162.16,158.42,156.26,122.31,98.223,114.49,145.34,176.1,182.93,139.2,136.26,119.23,135.43,120.12,110.82,126.85,132.2,156.47,189.28,110.3,106.5,125.43,157.68,147.7,132.2,141.77,152.95,135.43,111.71,127.34,168.45,166.65,128.79,116.11,122.9,0
