f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,label
170.6,147.29,151.48,149.29,137.6,162.15,171.54,131.15,165.84,141.37,143.72,138.37,129.1,160.41,176.05,152.46,160.52,117.99,136.5,146.47,145.48,131.87,132.53,160.99,189.26,101.69,127.85,156.48,158.83,153.49,141.97,140.4,159.35,111.25,125.93,147.81,152.36,152.61,160.3,156.71,157.57,112.11,119.66,133.19,111.65,158.45,154.9,141.59,148.74,151.58,155.09,112.38,111.84,131.46,153.17,166.85,148.74,145.18,136.53,111.65,117.99,152.51,159.88,159.92,152.25,151.55,141.02,0
139.11,131.09,135.86,138.26,139.32,129.36,127.15,128.16,140.02,151.06,168.77,156.14,128.71,110.57,117.96,149.47,152.53,170.24,144.81,140.53,150.9,165.09,157.8,134.86,146.87,176.11,164.13,122.04,133.73,158.68,163.7,162.4,158.72,165.85,181.1,154.54,130.37,129.67,140.72,163.67,169.98,160.5,162.5,163.92,166.09,145.86,136.89,156.17,166.72,171.61,167.91,178.6,152.63,133.9,143.11,153.72,166.72,165.04,158.55,166.09,170.24,144.19,135.49,144.69,153.24,131.67,117.37,0
153.41,173.65,168.81,143.56,130.35,128.61,138.26,132.69,142.4,157.31,147.23,164.19,175.49,153.2,153.59,166.74,111.07,159.85,129.01,152.8,175.52,186.62,179.57,153.89,141.62,96.53,100.91,140.51,160.43,171.33,182.99,162.98,128.94,116.01,105.96,124.88,142.78,149.17,150.59,157.12,159.55,111.88,119.26,140.33,140.55,146.15,130.83,117.82,146.49,138.18,147.39,122.2,140.78,158.52,154.32,149.13,146.49,145.82,136.5,140.55,159.85,159.91,148.56,136.89,148.33,156.47,132.78,0
118.62,141.01,152.81,168.03,141.41,124.15,138.97,136.46,111.73,147.31,160.7,160.62,153.6,132.28,135.9,145.14,118.33,182.1,147.02,170.83,157.46,155.74,146.09,132.31,137.03,121.4,122.18,146.66,156.96,138.06,125.38,116.72,126.98,167.67,139.29,136.53,159.33,157.86,136.33,113.62,116.62,166.38,148.29,139.72,173.09,158.67,148.09,136.92,147.42,148.63,153.49,168.41,161.82,121.14,126.32,135.11,147.42,160.77,155.34,173.09,182.1,144.64,136.93,148.17,143.57,142.49,134.53,0
143.01,150.6,160.42,160.71,164.4,152.44,153.82,142.38,121.96,134.68,145.74,164.03,181.31,169.5,157.71,155.43,114.25,115.72,135.27,140.18,149.3,165.4,178.53,151.04,133.43,104.48,117.84,123.27,131.3,154.31,161.38,147.88,142.54,129.23,122.44,106,117.11,148.51,158.39,137.21,149.14,145.06,131.68,126.88,116.58,144.93,148.47,155.14,152.76,162.95,163.81,114.44,124.9,139.49,163.36,145.36,152.76,173.18,184.9,116.58,115.72,136.69,162.22,158.65,164.19,158.31,164.26,0
122.28,121.07,136.34,164.09,171.49,167.5,153.3,135.84,152.38,127.52,118.93,129.54,143,158.57,151.06,151.81,175.74,142.22,147.46,118.52,121.37,136.1,153.13,165.03,176.83,158.84,142.32,128.27,145.72,165.58,159.51,159.04,164.26,127.97,124.69,122.21,153.88,172.33,171.28,161.03,140.1,120.95,131.91,123.9,152.08,130.22,147.55,171.48,155.28,181.28,146.61,136.59,128.23,126.86,123.36,126.28,155.28,178.21,158.12,152.08,142.22,137.85,135.93,126.97,124.85,149.71,151.94,0
144.6,158.24,156.54,130.02,144.2,146.98,144.31,137.42,151.11,164.84,160.35,147.28,157.32,169.6,171.75,141.76,154.7,153.77,170.93,175.31,155.96,132.78,145.89,143.09,140.57,151.2,175.8,178.51,167.96,137.8,114.81,124.91,130.76,119.11,129.4,144.32,155.41,163.62,127.37,106.65,114.58,125.3,112.96,123.22,132.77,147.78,172.41,161.71,152.68,113.68,90.13,163.87,161.56,136.05,127.47,152.27,152.68,124.22,115.09,132.77,153.77,139.71,109.24,108.16,124.71,125.55,128.72,0
105.11,104.67,117.24,132.64,120.32,119.85,132.25,133.11,124.45,128.66,125.11,150.99,144.23,136.57,146.92,164.51,122.73,132.35,135.54,128.75,123.59,141.36,153.37,159.12,156.22,131.3,132.14,135.26,122.72,135.65,160.54,174.01,148.87,124.98,126.1,136.14,134.69,129.55,141.87,156.67,136.55,123.12,122.17,128.14,144.96,131.85,114.31,109.33,115.43,105.28,111.77,122.53,137.41,156.59,158.59,121.35,115.43,124.98,126.38,144.96,132.35,147.21,162.47,153.21,126.2,141.07,137.74,0
144.26,132.2,140.19,161.19,189.46,157.34,103.98,120.33,118.7,128.71,144.17,149.85,151.25,149.96,124.9,130.23,129.89,132.08,152.74,135.97,114.95,129,134.24,128.29,160.49,135.5,149.51,150.01,129.4,120.67,124.1,122.88,137.88,125.68,137.19,137.5,131.49,128.98,125.05,131.75,137.28,138.09,153.83,130.52,144.15,139.01,147.24,135.32,134.41,139.39,145.16,143.8,141.3,127.73,127.12,128.15,134.41,152.72,162.1,144.15,132.08,127.69,120.03,121.27,128.09,157.73,178.35,0
148.21,121.64,121.55,111.92,117.4,140.38,165.26,172.8,159.45,132.73,125.25,115.55,110.69,129.15,154.02,174.59,128.24,170.31,119.56,120.77,124.43,116.28,126.79,136.02,140.23,109.05,131.04,135.66,115.19,101.15,113.48,128.29,136.8,142.97,147.07,152.64,146.55,111.96,95.165,117.91,134.05,151.61,154.77,152.94,173.24,149.09,130.64,126.91,137.97,144.69,143.05,176.15,170.38,134.88,105.78,100.46,137.97,174.74,190.01,173.24,170.31,139.82,137.82,161.19,160.8,152.8,160.89,0
134.32,116.21,127.95,162.36,182.87,161.11,143.86,152.43,113.98,125.28,148.83,156.24,129.58,141.37,164.59,170.67,118.89,145.57,134.89,141.43,143.51,130.04,135.08,145.47,145.84,123.85,122.81,114.58,128.83,143.11,147.66,141.13,147.78,140.71,116.27,103.34,124.88,143.74,138.19,142.53,152.86,137.16,140.11,138,144.03,134.1,133.48,130.94,123.98,136.29,145.86,130.26,140.76,158.4,163.42,155.69,123.98,115.64,125.59,144.03,145.57,151.28,150.44,136.76,116.01,124.71,152.78,0
167.44,177.34,171.63,133.83,119.57,116.51,124.76,146.57,157.18,171.4,181.11,130.75,108.94,118.89,135.47,148.18,145.26,129.51,158.72,150.97,120.61,112.35,131.27,137.43,147.1,128.74,139.53,149.42,139.62,124.45,146.12,140.44,133.26,131.17,147.71,140.74,123.73,134.81,158.52,164.65,148.18,123.5,130.86,146.68,121.02,140.71,145.91,151.45,145.66,148.96,152.13,120.42,116.52,145.01,144.5,139.1,145.66,139.32,134.61,121.02,129.51,158.32,162.35,140.87,153.14,160.25,151.17,0
